User,Score,Total,Time,Date
hritik,5,5,49,2025-06-05 23:29
hritik,20,20,94,2025-06-05 23:31
hritik,5,5,25,2025-06-05 23:34
hritik,5,5,12,2025-06-05 23:35
Priya,20,20,74,2025-06-05 18:31
Priya,2,5,15,2025-06-05 18:31
Priya,20,20,93,2025-06-05 18:33
hritik,19,20,79,2025-06-05 18:39
